Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
Romy Gonzalez,CHW,32,109,2,15,11,0,1.80%,35.80%,0.114,0.354,0.238,0.257,0.352,0.264,0.265,69,-0.6,-4.4,1.1,0
Ben Gamel,PIT,115,423,9,42,46,5,11.30%,23.20%,0.137,0.291,0.232,0.324,0.369,0.308,0.316,97,1.4,0,-14.1,0
Sergio Alcantara,- - -,93,224,6,26,29,1,5.40%,25.40%,0.137,0.267,0.22,0.261,0.356,0.269,0.244,70,-0.1,-7.8,0.4,0
Brandon Belt,SFG,78,298,8,25,23,1,12.40%,27.20%,0.138,0.277,0.213,0.326,0.35,0.303,0.326,96,-1,-2.3,-7.7,0
Connor Joe,COL,111,467,7,56,28,6,11.80%,20.80%,0.121,0.296,0.238,0.338,0.359,0.314,0.311,87,-0.3,-7.4,-8.3,0
Alejo Lopez,CIN,61,156,1,15,10,3,5.80%,13.50%,0.069,0.301,0.262,0.314,0.331,0.286,0.28,76,-0.3,-4.6,-0.6,0
Gilberto Celestino,MIN,122,347,2,30,24,4,9.20%,22.20%,0.064,0.31,0.238,0.313,0.302,0.28,0.27,82,-4.6,-11.7,0.6,0
Jose Herrera,ARI,47,124,0,9,5,0,7.30%,27.40%,0.018,0.273,0.189,0.25,0.207,0.213,0.186,31,0.6,-9.4,5,0
Mike Zunino,TBR,36,123,5,7,16,0,4.90%,37.40%,0.157,0.185,0.148,0.195,0.304,0.219,0.252,43,0,-7.9,3.7,0
Josh Jung,TEX,26,102,5,9,14,2,3.90%,38.20%,0.214,0.278,0.204,0.235,0.418,0.28,0.287,81,-1.8,-4,0.2,-0.1
Bobby Dalbec,BOS,117,353,12,40,39,3,8.20%,33.40%,0.155,0.293,0.215,0.283,0.369,0.287,0.296,80,1.7,-6.3,-5.6,-0.1
Jeimer Candelario,DET,124,467,13,49,50,0,6.00%,23.30%,0.145,0.257,0.217,0.272,0.361,0.277,0.292,80,-2.7,-13.3,-2.3,-0.1
Chad Pinder,OAK,111,379,12,38,42,2,3.70%,31.10%,0.15,0.313,0.235,0.263,0.385,0.281,0.28,86,-0.2,-6,-6.8,-0.1
Matt Vierling,PHI,117,357,6,41,32,7,6.40%,19.60%,0.105,0.29,0.246,0.297,0.351,0.285,0.324,81,0.5,-7.5,-5.3,-0.1
Spencer Steer,CIN,28,108,2,12,8,0,10.20%,24.10%,0.116,0.269,0.211,0.306,0.326,0.287,0.281,76,0,-3,-1.4,-0.1
Aramis Garcia,CIN,47,115,1,6,4,0,2.60%,29.60%,0.046,0.301,0.213,0.248,0.259,0.228,0.247,36,-2.2,-10.7,6,-0.1
Dominic Smith,NYM,58,152,0,11,17,0,7.90%,24.30%,0.09,0.263,0.194,0.276,0.284,0.254,0.293,67,1.7,-4.2,-1.9,-0.1
Matt Duffy,LAA,77,247,2,14,16,0,6.90%,20.20%,0.061,0.313,0.25,0.308,0.311,0.279,0.28,78,-1.8,-7.9,-1,-0.1
Diego Castillo,PIT,96,283,11,28,29,1,4.90%,26.50%,0.176,0.239,0.206,0.251,0.382,0.272,0.292,73,-0.4,-9.2,-1.3,-0.1
Jarred Kelenic,SEA,54,181,7,20,17,5,8.80%,33.70%,0.172,0.167,0.141,0.221,0.313,0.238,0.271,55,-0.5,-9.6,2.7,-0.1
Tucupita Marcano,PIT,49,177,2,18,13,2,5.60%,24.90%,0.1,0.27,0.206,0.256,0.306,0.249,0.21,57,1,-7.8,0.7,-0.1
Kevin Smith,OAK,47,151,2,9,13,4,4.60%,27.80%,0.122,0.237,0.18,0.216,0.302,0.226,0.239,48,-0.6,-9.5,3.5,-0.1
Jake Lamb,- - -,41,111,3,13,6,0,9.90%,34.20%,0.175,0.321,0.216,0.315,0.392,0.314,0.314,105,-2.3,-1.6,-3.4,-0.1
Jonah Bride,OAK,58,187,1,17,6,1,10.20%,17.10%,0.043,0.246,0.204,0.301,0.247,0.257,0.282,70,-1.5,-7.9,0.5,-0.1
Yadiel Hernandez,WSN,94,327,9,30,41,2,5.80%,22.60%,0.141,0.326,0.269,0.312,0.41,0.315,0.31,101,-5.2,-4.7,-7.6,-0.1
Alfonso Rivas,CHC,101,287,3,27,25,6,10.10%,30.30%,0.072,0.344,0.235,0.322,0.307,0.285,0.281,82,2,-3.9,-7.2,-0.1
Vimael Machin,OAK,73,253,1,26,13,1,9.90%,18.60%,0.067,0.27,0.22,0.3,0.287,0.268,0.301,77,-1.2,-7.7,-1.8,-0.1
MJ Melendez,KCR,129,534,18,57,62,2,12.40%,24.50%,0.176,0.258,0.217,0.313,0.393,0.31,0.332,99,-0.3,-1.1,-17.4,-0.2
Miguel Andujar,- - -,36,140,1,13,17,4,3.60%,19.30%,0.076,0.28,0.235,0.257,0.311,0.247,0.281,57,1.5,-5.2,-0.8,-0.2
Adam Engel,CHW,119,260,2,32,17,12,4.20%,29.20%,0.086,0.317,0.224,0.269,0.31,0.256,0.246,63,2.1,-8.6,-1.2,-0.2
Andy Ibanez,TEX,40,128,1,13,9,3,7.00%,16.40%,0.059,0.258,0.218,0.273,0.277,0.249,0.272,59,1.3,-4.7,-1,-0.2
Bradley Zimmer,- - -,109,117,2,18,5,3,4.30%,38.50%,0.105,0.19,0.124,0.207,0.229,0.203,0.225,26,1.3,-8.4,3,-0.2
Akil Baddoo,DET,73,225,2,30,9,9,10.70%,28.40%,0.065,0.289,0.204,0.289,0.269,0.256,0.253,65,2.2,-6.6,-2.4,-0.2
Franchy Cordero,BOS,84,275,8,36,29,4,10.20%,33.50%,0.178,0.313,0.219,0.3,0.397,0.304,0.313,92,2.6,0.2,-10.7,-0.2
Mike Ford,- - -,50,149,3,9,10,0,11.40%,26.80%,0.107,0.273,0.206,0.302,0.313,0.28,0.278,81,-0.5,-3.7,-2.9,-0.2
Kody Clemens,DET,57,127,5,13,17,1,6.30%,26.00%,0.162,0.148,0.145,0.197,0.308,0.22,0.252,40,1.1,-7.5,1.5,-0.2
Peyton Burdick,MIA,32,102,4,8,11,1,7.80%,34.30%,0.174,0.283,0.207,0.284,0.38,0.294,0.296,91,0,-1.1,-4.3,-0.2
Michael Toglia,COL,31,120,2,10,12,1,7.50%,36.70%,0.162,0.338,0.216,0.275,0.378,0.285,0.261,68,0.5,-4,-2.1,-0.2
Victor Reyes,DET,92,336,3,27,34,2,3.90%,22.90%,0.108,0.322,0.254,0.289,0.362,0.284,0.292,85,-0.3,-6.1,-6.7,-0.2
Randal Grichuk,COL,141,538,19,60,73,4,4.50%,23.60%,0.166,0.309,0.259,0.299,0.425,0.315,0.281,88,-1.2,-9,-11.2,-0.2
Austin Meadows,DET,36,147,0,9,11,0,10.90%,11.60%,0.078,0.288,0.25,0.347,0.328,0.307,0.38,101,-1.2,-1,-5.8,-0.2
Jackie Bradley Jr.,- - -,132,370,4,30,38,2,6.50%,20.80%,0.108,0.251,0.203,0.255,0.311,0.252,0.268,56,-0.7,-18.9,4.8,-0.2
Tucker Barnhart,DET,94,308,1,16,16,0,8.10%,24.00%,0.046,0.296,0.221,0.287,0.267,0.253,0.244,63,-1.7,-14.6,2.4,-0.2
J.J. Bleday,MIA,65,238,5,21,16,4,12.60%,28.20%,0.142,0.216,0.167,0.277,0.309,0.266,0.28,72,0.8,-7.1,-3.4,-0.3
Didi Gregorius,PHI,63,232,1,17,19,1,5.60%,15.50%,0.093,0.246,0.21,0.263,0.304,0.251,0.275,58,2.1,-9.3,-1.1,-0.3
Robbie Grossman,- - -,129,477,7,40,45,6,11.70%,27.00%,0.102,0.283,0.209,0.31,0.311,0.283,0.281,82,-0.2,-9.8,-8.3,-0.3
Alcides Escobar,WSN,42,131,0,12,8,1,3.80%,24.40%,0.065,0.293,0.218,0.26,0.282,0.242,0.233,51,0.9,-6.5,-0.7,-0.3
CJ Abrams,- - -,90,302,2,33,21,7,1.70%,16.60%,0.077,0.291,0.246,0.28,0.324,0.267,0.266,71,1.7,-8.5,-4.5,-0.3
Luis Torrens,SEA,57,166,3,13,15,0,7.20%,30.10%,0.073,0.31,0.225,0.283,0.298,0.261,0.284,72,-1.4,-6.6,-1.8,-0.3
Ryan O'Hearn,KCR,67,145,1,14,16,0,5.50%,24.10%,0.082,0.313,0.239,0.29,0.321,0.272,0.327,72,0.3,-4.4,-3.4,-0.3
Josh VanMeter,PIT,67,192,3,15,14,4,9.90%,23.40%,0.105,0.232,0.187,0.266,0.292,0.251,0.288,59,1.1,-8.1,-1.5,-0.3
Andrew Knizner,STL,97,293,4,28,25,0,8.90%,21.20%,0.085,0.268,0.215,0.301,0.3,0.275,0.28,79,-1.8,-9.1,-4,-0.3
Mickey Moniak,- - -,37,112,3,13,8,1,3.60%,39.30%,0.132,0.254,0.17,0.207,0.302,0.223,0.206,39,1.2,-6.7,-0.3,-0.3
Jo Adell,LAA,88,285,8,22,27,4,3.90%,37.50%,0.149,0.338,0.224,0.264,0.373,0.278,0.251,77,0.8,-6.5,-5.9,-0.3
Nick Pratto,KCR,49,182,7,18,20,0,10.40%,36.30%,0.203,0.25,0.184,0.271,0.386,0.287,0.267,82,-1.5,-5.2,-3.9,-0.4
Zack Collins,- - -,36,108,4,9,11,0,8.30%,38.00%,0.165,0.208,0.155,0.231,0.32,0.245,0.257,57,-0.2,-5.6,-1.3,-0.4
Richie Palacios,CLE,54,123,0,7,10,2,7.30%,16.30%,0.054,0.28,0.232,0.293,0.286,0.258,0.277,65,0.3,-4.6,-2.8,-0.4
Jesus Aguilar,- - -,129,507,16,39,51,1,5.50%,23.50%,0.144,0.278,0.235,0.281,0.379,0.288,0.298,86,-2.8,-10.7,-9.8,-0.4
Yasmani Grandal,CHW,99,376,5,15,27,1,12.00%,21.00%,0.067,0.249,0.202,0.301,0.269,0.263,0.29,68,-6.2,-19.7,4.1,-0.4
Jarren Duran,BOS,58,223,3,23,17,7,6.30%,28.30%,0.142,0.302,0.221,0.283,0.363,0.284,0.282,78,0.5,-5.1,-5.6,-0.4
Harold Castro,DET,120,443,7,37,47,0,3.80%,17.80%,0.11,0.318,0.271,0.3,0.381,0.297,0.316,94,-1.6,-4.8,-13.1,-0.4
